名称,代码
万科Ａ,000002
PT金田A,000003
ST国华,000004
ST星源,000005
深振业Ａ,000006
全新好,000007
神州高铁,000008
中国宝安,000009
美丽生态,000010
深物业A,000011
南玻Ａ,000012
ST石化A,000013
沙河股份,000014
PT中浩A,000015
深康佳Ａ,000016
深中华A,000017
神城A退,000018
深粮控股,000019
深华发Ａ,000020
深科技,000021
深天地Ａ,000023
招商地产,000024
特力Ａ,000025
飞亚达,000026
深圳能源,000027
国药一致,000028
深深房Ａ,000029
富奥股份,000030
大悦城,000031
深桑达Ａ,000032
新都退,000033
神州数码,000034
中国天楹,000035
华联控股,000036
深南电A,000037
ST大通,000038
中集集团,000039
东旭蓝天,000040
中洲控股,000042
深纺织Ａ,000045
泛海控股,000046
ST中侨,000047
京基智农,000048
德赛电池,000049
深天马Ａ,000050
方大集团,000055
皇庭国际,000056
深赛格,000058
华锦股份,000059
中金岭南,000060
农产品,000061
深圳华强,000062
中兴通讯,000063
北方国际,000065
中国长城,000066
华控赛格,000068
华侨城Ａ,000069
特发信息,000070
海王生物,000078
盐田港,000088
深圳机场,000089
天健集团,000090
广聚能源,000096
中信海直,000099
TCL科技,000100
ST宜康,000150
中成股份,000151
丰原药业,000153
川能动力,000155
华数传媒,000156
中联重科,000157
常山北明,000158
国际实业,000159
申万宏源,000166
东方盛虹,000301
美的集团,000333
潍柴动力,000338
许继电气,000400
冀东水泥,000401
金融街,000402
派林生物,000403
长虹华意,000404
ST鑫光,000405
石油大明,000406
胜利股份,000407
藏格矿业,000408
云鼎科技,000409
ST沈机,000410
英特集团,000411
ST五环,000412
东旭光电,000413
渤海租赁,000415
民生控股,000416
合肥百货,000417
小天鹅A,000418
通程控股,000419
吉林化纤,000420
南京公用,000421
湖北宜化,000422
东阿阿胶,000423
徐工机械,000425
兴业矿业,000426
华天酒店,000428
粤高速Ａ,000429
张家界,000430
晨鸣纸业,000488
山东路桥,000498
武商集团,000501
绿景退,000502
国新健康,000503
南华生物,000504
京粮控股,000505
中润资源,000506
珠海港,000507
琼民源A,000508
华塑控股,000509
新金路,000510
烯碳退,000511
丽珠集团,000513
渝开发,000514
攀渝钛业,000515
国际医学,000516
荣安地产,000517
四环生物,000518
中兵红箭,000519
长航凤凰,000520
长虹美菱,000521
白云山A,000522
广州浪奇,000523
岭南控股,000524
ST红太阳,000525
学大教育,000526
美的电器,000527
柳工,000528
